Publication Type;Authors;Author Full Names;Article Title;Source Title;Language;Document Type;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages;WoS Categories;UT (Unique WOS ID);Web of Science Record
C;"Vanderfeesten, I; Reijers, HA; van der Aalst, WMP";"Vanderfeesten, Irene; Reijers, Hajo A.; van der Aalst, Wil M. P.";An evaluation of case handling systems for product based workflow design;ICEIS 2007: PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS: INFORMATION SYSTEMS ANALYSIS AND SPECIFICATION;English;Proceedings Paper;"product based workflow design; case handling systems; business process redesign; business process management";"DYNAMIC CHANGES; MANAGEMENT";Case handling systems offer a solution to the lack of flexibility and adaptability in workflow management systems. Because they are data driven they potentially provide good support for Product Based Workflow Design (PBWD). In this paper we investigate to which degree current case handling systems (FLOWer and Activity Manager) are able to support PBWD. This is done by elaborating the design process of a case from industry in both systems. From this evaluation we concluded that current case handling systems are not yet completely ready for supporting PBWD. Therefore, we recognize that better tool support is needed to make PBWD more suitable for practical use.;"[Vanderfeesten, Irene; Reijers, Hajo A.; van der Aalst, Wil M. P.] Eindhoven Univ Technol, Dept Technol Management, NL-5600 MB Eindhoven, Netherlands";Vanderfeesten, I (corresponding author), Eindhoven Univ Technol, Dept Technol Management, POB 513, NL-5600 MB Eindhoven, Netherlands.;"i.t.p.vanderfeesten@tm.tue.n1; h.a.reijers@un.tue.nl; w.m.p.v.daalst@tue.nl";"van der Aalst, Wil/G-1248-2011; Vanderfeesten, Irene/B-6181-2019";"van der Aalst, Wil/0000-0002-0955-6940; Vanderfeesten, Irene/0000-0002-6670-5519";32;2;2;0;0;;;978-972-8865-90-0;;2007;;;39;46;;;;8;Computer Science, Information Systems;WOS:000253307500012;View Full Record in Web of Science
C;"Pulparambil, S; Baghdadi, Y";"Pulparambil, Supriya; Baghdadi, Youcef";Towards a Model for SOA Adoption Based on Methodical Aspects;2017 INTERNATIONAL CONFERENCE ON COMPUTING METHODOLOGIES AND COMMUNICATION (ICCMC);English;Proceedings Paper;"SOA method; maturity stage; service engineering; business process redesign; dynamic composition; horseshoe model";;"The process of SOA adoption take years to realize the benefits from initial SOA investments. A staged representation depicts the improvement path for SOA adoption. Each stage has its own characteristics and the stages are logically connected. The move from one stage to the next requires methods, processes, tools, and techniques. The existing methods mainly differ in terms of the centered building block; it is often challenge for an enterprise to decide on methods as the SOA motivations and requirements vary for different stages of SOA adoption. In this context, an enterprise has to model its SOA adoption path in terms of the methodical requirements at different stages. This work proposes a horseshoe model to understand the transformations from initial stages of SOA adoption to an optimized stage. The model is explained through three conceptual elements: (i) SOA building blocks, (ii) scope of method definition, and (iii) transformation views. This work guides to decide on SOA methods at different stages of adoption. The future work includes the model instantiation with required methods.";"[Pulparambil, Supriya; Baghdadi, Youcef] Sultan Qaboos Univ, Comp Sci Dept, Muscat, Oman";Pulparambil, S (corresponding author), Sultan Qaboos Univ, Comp Sci Dept, Muscat, Oman.;"P113918@student.squ.edu.om; ybaghdadi@squ.edu.om";;;26;1;1;0;1;;;978-1-5090-4890-8;;2017;;;105;110;;;;6;"Engineering, Electrical & Electronic; Telecommunications";WOS:000426980700017;View Full Record in Web of Science
J;"Polpinij, J; Ghose, A; Dam, HK";"Polpinij, Jantima; Ghose, Aditya; Dam, Hoa Khanh";Mining business rules from business process model repositories;BUSINESS PROCESS MANAGEMENT JOURNAL;English;Article;"Information management; Process management; Software engineering; Business process redesign; Knowledge management; Process modelling";;Purpose - Business process has become the core assets of many organizations and it becomes increasing common for most medium to large organizations to have collections of hundreds or even thousands of business process models. The purpose of this paper is to explore an alternative dimension to process mining in which the objective is to extract process constraints (or business rules) as opposed to business process models. It also focusses on an alternative data set - process models as opposed to process instances (i.e. event logs). Design/methodology/approach - The authors present a new method of knowledge discovery to find business activity sequential patterns embedded in process model repositories. The extracted sequential patterns are considered as business rules. Findings - The authors find significant knowledge hidden in business processes model repositories. The hidden knowledge is considered as business rules. The business rules extracted from process models are significant and valid sequential correlations among business activities belonging to a particular organization. Such business rules represent business constraints that have been encoded in business process models. Experimental results have indicated the effectiveness and accuracy of the approach in extracting business rules from repositories of business process models. Social implications - This research will assist organizations to extract business rules from their existing business process models. The discovered business rules are very important for any organization, where rules can be used to help organizations better achieve goals, remove obstacles to market growth, reduce costly mistakes, improve communication, comply with legal requirements, and increase customer loyalty. Originality/value - There has very been little work in mining business process models as opposed to an increasing number of very large collections of business process models. This work has filled this gap with the focus on extracting business rules.;"[Polpinij, Jantima] Mahasarakham Univ, Fac Informat, Dept Comp Sci, Maha Sarakham, Thailand; [Ghose, Aditya; Dam, Hoa Khanh] Univ Wollongong, Sch Comp Sci & Software Engn, Wollongong, NSW, Australia";Polpinij, J (corresponding author), Mahasarakham Univ, Fac Informat, Dept Comp Sci, Maha Sarakham, Thailand.;jantima.polpinij@gmail.com;Dam, Hoa Khanh/C-6058-2014;"Dam, Hoa Khanh/0000-0003-4246-0526; Polpinij, Jantima/0000-0002-0006-7374";30;7;7;1;16;1463-7154;1758-4116;;;2015;21;4;820;836;;10.1108/BPMJ-01-2014-0004;http://dx.doi.org/10.1108/BPMJ-01-2014-0004;17;"Business; Management";WOS:000358480200005;View Full Record in Web of Science
S;"Tiwari, A; Vergidis, K; Roy, R";"Tiwari, Ashutosh; Vergidis, Kostas; Roy, Rajkumar";Evolutionary Optimization of Business Process Designs;EVOLUTIONARY SCHEDULING;English;"Article; Book Chapter";;"PROCESS MODELS; FRAMEWORK; MANAGEMENT";Business process redesign and improvement have become increasingly attractive in the wider area of business process intelligence. Although there are many attempts to establish a qualitative business process redesign framework, there is little work on quantitative business process analysis and optimization. Furthermore, most of the attempts to analyze and optimize a business process are manual without involving a formal automated methodology. Business process optimization can be classified as a scheduling problem, expressed as the selection of alternative activities in the appropriate sequence for the available resources to be transformed and thus satisfy the business process objectives. This chapter provides an overview of the current research about business process analysis and optimization and introduces an evolutionary approach. It demonstrates how a business process design problem can be modeled as a multi-objective optimization problem and solved using existing techniques. An illustrative case study is presented to demonstrate the results obtained through three multi-objective optimization algorithms. It is shown that multi-objective optimization of business processes is a highly constrained problem with fragmented search space. However, the results demonstrate a successful attempt and highlight the directions for future research in the area.;"[Tiwari, Ashutosh; Vergidis, Kostas; Roy, Rajkumar] Cranfield Univ, Sch Appl Sci, Cranfield MK43 0AL, Beds, England";Tiwari, A (corresponding author), Cranfield Univ, Sch Appl Sci, Cranfield MK43 0AL, Beds, England.;;"Vergidis, Kostas/A-8642-2015; Roy, Rajkumar/AAR-5146-2020";"Vergidis, Kostas/0000-0002-2755-499X; Roy, Rajkumar/0000-0001-5491-7437";31;2;2;0;3;1860-949X;;978-3-540-48582-7;;2007;49;;513;541;;;;29;"Computer Science, Artificial Intelligence; Operations Research & Management Science";WOS:000271298300020;View Full Record in Web of Science
J;"Vera, A; Zapata, CM";"Vera, Antonio; Mario Zapata, Carlos";Best practices of business process improvement: towards a representation on top of the Quintessence kernel;BUSINESS PROCESS MANAGEMENT JOURNAL;English;Article;"Business process improvement; Business process re-engineering; Business process redesign; Best practice; Quintessence; Alpha";"PROCESS MANAGEMENT; PROCESS REDESIGN; FRAMEWORK; METHODOLOGY; READINESS";Purpose Organizational process improvement plays an important role for sustaining business in a competitive environment. Therefore, enterprise leaders are increasingly prone to adopt business process improvement (BPI) practices. However, organizations are unable to implement formal and reusable solutions, representing a gap between academic research and practical use. In addition, companies adopt discipline-dependent solutions, lacking BPI representations of best practices applicable to all organizational divisions. This paper aims to propose some constructs on top of the Quintessence kernel for representing the practice systematic development of the BPI in the BPI lifecycle and we conduct two case studies in a multinational company. Design/methodology/approach A quantitative research design was adopted for recognizing gaps in previous approaches and identifying best BPI practices. Subsequently, characterization of practices and activities are represented based on a unified definition model and the Quintessence kernel. Finally, two case studies are developed for applying the solution. Findings The formal representation is applicable to multiple disciplines in organizational environments. Besides, the sub-alphas (abstract level progress health attribute) states and the work products resulting from each activity completion criteria evidence the health and progress accomplished during the practice execution. Originality/value The practice representation serves as a formal, graphical, reusable and multidiscipline guide compiling activities and tasks for systematically developing BPI during the radical/incremental improvement lifecycle.;"[Vera, Antonio; Mario Zapata, Carlos] Univ Nacl Colombia, Sede Medellin, Comp & Decis Sci Dept, Medellin, Colombia";Vera, A (corresponding author), Univ Nacl Colombia, Sede Medellin, Comp & Decis Sci Dept, Medellin, Colombia.;avera@unal.edu.co;;"Vera, Antonio/0000-0002-5581-8008; Zapata-Jaramillo, Carlos Mario/0000-0002-0628-4097";84;0;0;1;1;1463-7154;1758-4116;;MAY 20;2022;28;3;876;903;;10.1108/BPMJ-10-2021-0687;http://dx.doi.org/10.1108/BPMJ-10-2021-0687;28;"Business; Management";WOS:000791150700001;View Full Record in Web of Science
J;DUSTDAR, S;DUSTDAR, S;BUSINESS PROFESS REDESIGN WITH INTERACTIVE MULTIMEDIA INFORMATION-SYSTEMS - A CASE-STUDY ON BARCLAYS-BANK IN LONDON;WIRTSCHAFTSINFORMATIK;German;Article;"MULTIMEDIA INFORMATION SYSTEMS; BUSINESS PROCESS REDESIGN; INFORMATION SUPERHIGHWAY; ELECTRONIC MARKETS; ORGANIZATIONAL BOUNDARIES; ORGANIZATIONAL CHANGE";TECHNOLOGY;The convergence of four industries, namely the computer, TV and broadcasting, Telecommunications and Print/Publishing industries into a multimedia industry brings much turbulence into the organisational domain and leads to considerable organisational redesign. This study shows some evidence how the deployment of multimedia information systems changes the nature of business processes within Barclays bank and leads to new products, services and enables the organisation to change delivery channels to reach their customers. Barclays sees video-on-demand as the model for a range of new multimedia services which will transform retail and wholesale banking over the next years. Among the possible implications of multimedia information systems are a virtual end to branch banking and its replacement by multimedia kiosks and interactive-TV.;;DUSTDAR, S (corresponding author), UNIV LONDON LONDON SCH ECON & POLIT SCI,DEPT INFORMAT SYST,HOUGHTON ST,LONDON WC2A 2AE,ENGLAND.;;Dustdar, Schahram/G-9877-2015;Dustdar, Schahram/0000-0001-6872-8821;29;0;0;1;2;0937-6429;;;AUG;1995;37;4;377;383;;;;7;Computer Science, Information Systems;WOS:A1995RV56100005;View Full Record in Web of Science
C;"Hou, KH; Niu, X; Chen, T";"Hou Kaihu; Niu Xiao; Chen Ting";Study on business process reengineering of the direct delivery engineering based in an engine works (ID : 1-014);PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS 1-5: INDUSTRIAL ENGINEERING AND MANAGEMENT INNOVATION IN NEW-ERA;English;Proceedings Paper;"direct delivery engineering; business processes reengineering; information technology";;The direct delivery engineering is an idea that combines the thought of vendor managed inventory with the philosophy of Just-In-Time purchasing and supply in China. Its core thought is about delivering the right amount of the component to assemble line at the time that it is required and the warehouse nearby manufacturer should been set up by supplier. The aim of the direct delivery engineering is the delivery lead time shortened and enterprise's competitiveness strengthened. In this study, the engines works are facing the problems, such problems are: lack of collaboration and mutual trust, unexpected customer demand and lower price competition, etc. In order to overcome those obstacles, the delivery 'engineering approach is used, and the businesses of the engines works are redesign. This paper discusses the business process describing and business process analyses and business process redesign. Based on business process redesign, we have presented the design of a new business process that the direct delivery engineering is applied in the engine works for business process reengineering. As a result of the implementation of BPR using application the direct delivery engineering and information technology, the delivery lead time went down from 10 to 1 days, the purchasing process time has been cut from 180 to 10 minute.;Kunming Univ Sci & Technol, Fac Mech & Elect Engn, Kunming 650093, Peoples R China;;Kaihu@kmbest.com.cn;hou, kai/GWU-6579-2022;;2;0;0;0;1;2157-3611;;978-7-111-04596-0;;2006;;;246;249;;;;4;"Computer Science, Artificial Intelligence; Engineering, Industrial; Management";WOS:000243868800043;View Full Record in Web of Science
J;"El Sawy, O; Bowles, G";"El Sawy, O; Bowles, G";Redesigning the customer support process for the electronic economy: Insights from storage dimensions;MIS QUARTERLY;English;Article;"customer support process; business process redesign; information technologies for customer integration; learning organization; knowledge management";INFORMATION;This paper provides insights for redesigning IT-enabled customer support processes to meet the demanding requirements of the emerging electronic economy in which fast response, shared knowledge creation, and internetworked technologies are the dynamic enablers of success. The paper describes the implementation of the TechConnect support system at Storage Dimensions, a manufacturer of high-availability computer storage system products. TechConnect is a unique IT infrastructure for problem resolution that includes a customer support knowledge base whose structure is dynamically updated based an adaptive learning through customer interactions. The paper assesses the impacts of TechConnect and ifs value in creating a learning organization. It then draws insights for redesigning knowledge-creating customer support processes for the business conditions of the electronic economy.;"Univ So Calif, Marshall Sch Business, Los Angeles, CA 90089 USA; Storage Dimens, Milpitas, CA 95035 USA";El Sawy, O (corresponding author), Univ So Calif, Marshall Sch Business, Los Angeles, CA 90089 USA.;"elsawy@bus.usc.edu; genebowl@xstor.com";"Wang, Charles/B-5565-2011; El Sawy, Omar/ABG-7773-2021";"Wang, Charles/0000-0001-9331-8437; ";27;64;64;0;23;0276-7783;;;DEC;1997;21;4;457;483;;;;27;"Computer Science, Information Systems; Information Science & Library Science; Management";WOS:000073867200005;View Full Record in Web of Science
J;Khosravi, A;Khosravi, Ali;Business process rearrangement and renaming A new approach to process orientation and improvement;BUSINESS PROCESS MANAGEMENT JOURNAL;English;Article;"Performance measurement; Performance management; Business process redesign; Business process reengineering; Organizational restructuring; Business re-engineering";"PROCESS MANAGEMENT; COMPETITIVE ADVANTAGE; PROCESS REDESIGN; NAME CHANGES; BPM-SYSTEMS; IMPACT; SUCCESS; LEVEL; FADS";"Purpose - Process orientation, which involves managing organizations based on horizontal end-to-end processes, has been shown to increase the quality of products/services, decrease costs, and make business functions faster and more reliable. However, current process orientation methods are radical and destructive, leading to failure in most cases. The purpose of this paper is to present a non-destructive method of implementation. Design/methodology/approach - Supporting by literature review and two case studies, this paper presents a new process orientation methodology named as Business Process Rearrangement and Renaming (BPR2). Findings - The existing process management methodologies mostly aim to provide a comprehensive view on all of the main activities involved in process management and strategic alignment, with insignificant focus on mitigating the risk of failure in their redesign stage. In contrast, every step in the methodology presented in this paper, including the design phase, aim to reduce the risk of failure. Practical implications - Name is the most communicated characteristic of a department; however, this most communicated characteristic of the departments has always been the most neglected characteristic as well. For the first time in the literature, this paper provides a description on how to use the power of departmental names to promote the main customer values expected from each department. Originality/value - Added to a detailed guideline on the new process design and process names, this paper presents a new marketing mix model with a process-oriented delegation of authority view, which may be of interest to the marketing researchers and practitioners.";[Khosravi, Ali] Macquarie Univ, N Ryde, NSW, Australia;Khosravi, A (corresponding author), Macquarie Univ, N Ryde, NSW, Australia.;ali.khosravi@mq.edu.au;;;87;8;9;1;41;1463-7154;1758-4116;;;2016;22;1;116;139;;10.1108/BPMJ-02-2015-0012;http://dx.doi.org/10.1108/BPMJ-02-2015-0012;24;"Business; Management";WOS:000370162400006;View Full Record in Web of Science
J;"van Reijswoud, VE; Mulder, HBF; Dietz, JLG";"van Reijswoud, VE; Mulder, HBF; Dietz, JLG";Communicative action-based business process and information systems modelling with DEMO;INFORMATION SYSTEMS JOURNAL;English;Article;"business analysis; business process redesign/re-engineering; communicative action-based modelling; information systems design; speech acts";;The field of communicative action-based modelling of business processes and information systems has attracted more and more attention in recent years. Inspired by the seminal work of Winograd and Flores, researchers have proposed several modelling approaches. In this article we discuss communicative action-based modelling approaches in general and the DEMO (dynamic essential modelling of organizations) approach in particular Besides establishing the theoretical foundations of this modelling approach, we also apply DEMO to a case study, and we discuss how the resulting models can be used for information systems design and business process optimization.;"Delft Univ Technol, Dept Informat Syst, NL-2600 AJ Delft, Netherlands; Essential Act Engn BV, VIAgroep NV, NL-2280 AB Rijswijk, Netherlands";van Reijswoud, VE (corresponding author), Delft Univ Technol, Dept Informat Syst, POB 356, NL-2600 AJ Delft, Netherlands.;"vreijsw@is.twi.tudelft.nl; hans.mulder@eae.nl; dietz@is.twi.tudelft.nl";;;18;26;26;0;8;1350-1917;1365-2575;;APR;1999;9;2;117;138;;10.1046/j.1365-2575.1999.00055.x;http://dx.doi.org/10.1046/j.1365-2575.1999.00055.x;22;Information Science & Library Science;WOS:000080819400004;View Full Record in Web of Science
S;MARTIN, A;MARTIN, A;WORKFLOW SUPPORT FOR RE-ENGINEERED CASE-MANAGEMENT IN AN ENGLISH LAW FIRM;BUSINESS PROCESS RE-ENGINEERING: INFORMATION SYSTEMS OPPORTUNITIES AND CHALLENGES;English;"Article; Proceedings Paper";"COMPUTER SYSTEMS IMPLEMENTATION, MICROCOMPUTERS; COMPUTERS AND SOCIETY, ORGANIZATIONAL IMPACTS; MANAGEMENT OF COMPUTING AND INFORMATION SYSTEMS, PROJECT AND PEOPLE MANAGEMENT";;"A longitudinal case study investigates the impact of a new computer system which supports a small scale business process redesign project, on fee earners in a medium-sized English law firm. It attempts to learn from the effect of the system on the fee earners' activities and their attitudes towards their work and the system. The typical activities of a legal fee earner are tracked during a 2 year post-implementation period; changes during this time are identified and discussed. Lessons are drawn from the experience.";;MARTIN, A (corresponding author), UNIV WARWICK,WARWICK BUSINESS SCH,COVENTRY CV4 7AL,W MIDLANDS,ENGLAND.;;;;13;0;0;0;2;0926-5473;;0-444-82062-0;;1994;54;;421;432;;;;12;"Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Industrial";WOS:A1994BB68G00043;View Full Record in Web of Science
J;Cardoso, J;Cardoso, J;Poseidon: A framework to assist web process design based on business cases;INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS;English;Article;"business process design; business process redesign; business process reengineering; Web process; workflow; lifecycle of business processes";"WORKFLOW; TIME";Systems and infrastructures are currently being developed to support Web services and Web processes. One prominent solution to manage and coordinate Web services is the use of workflow technology. For more than two decades now, workflow management systems architectures, language specifications, and workflow analysis techniques have been extensively studied. While these areas of research have made the development of sophisticated workflow systems possible, one important research area that has been overlooked is the lifecycle of process application development. As a result, current process management systems support the analysis, enactment, and ad hoc design of workflows, but they lack the tools and methods to assist process design. The purpose of our study is to present a framework to assist and guide process analysts and designers in their task. The Poseidon framework includes a participative and an analytical design method. The participative phase uses a clean sheet approach and starts by constructing a business case table which captures all the business cases represented by a process. Afterward, an analytical design phase is followed where scheduling functions are derived from the business case table and are used to build the structure of a process.;Univ Madeira, Dept Math & Engn, P-9000390 Funchal, Portugal;Cardoso, J (corresponding author), Univ Madeira, Dept Math & Engn, P-9000390 Funchal, Portugal.;jcardoso@uma.pt;;Cardoso, Jorge/0000-0001-8992-3466;36;5;5;0;1;0218-8430;1793-6365;;MAR;2006;15;1;23;55;;10.1142/S021884300600127X;http://dx.doi.org/10.1142/S021884300600127X;33;Computer Science, Information Systems;WOS:000235907700002;View Full Record in Web of Science
J;"Vergidis, K; Tiwari, A; Majeed, B";"Vergidis, K.; Tiwari, A.; Majeed, B.";Business process improvement using multi-objective optimisation;BT TECHNOLOGY JOURNAL;English;Article;;PROCESS MODELS;Business process redesign and improvement has become an increasingly attractive subject in the wider area of business process intelligence. Although there have been many attempts to establish a business process redesign framework, there is little work on the actual optimisation of business processes with given objectives. Furthermore, most of the attempts to optimise a business process are manual and do not involve a formal automated methodology. This paper proposes a process improvement approach for automated multi-objective optimisation of business processes. The proposed framework uses a generic business process model that is formally defined. The formal definition of business processes is necessary to ensure that the optimisation will take place in a clearly defined, repeatable and verifiable way. Multi-objectivity is expressed in terms of process cost and duration as two key objectives for any business process. The business process model is programmed and incorporated into a software optimisation platform where a selection of multi-objective optimisation algorithms can be applied to a business process design. This paper outlines a case study of business process design that is optimised by the state-of-the-art multi-objective optimisation algorithm NSGA2. The results indicate that, although business process optimisation is a highly constrained problem with fragmented search space, a number of alternative optimised business processes that meet the optimisation criteria can be produced. The paper also provides directions for future research in this area.;"Cranfield Univ, Area Business Proc Optimisat, Cranfield MK43 0AL, Beds, England; Cranfield Univ, Sch Ind & Mfg Sci, Cranfield MK43 0AL, Beds, England";Vergidis, K (corresponding author), Cranfield Univ, Area Business Proc Optimisat, Cranfield MK43 0AL, Beds, England.;;"Vergidis, Kostas/A-8642-2015; Tiwari, Ashutosh/A-9901-2011";"Vergidis, Kostas/0000-0002-2755-499X; ";12;23;24;2;18;1358-3948;;;APR;2006;24;2;229;235;;10.1007/s10550-006-0065-2;http://dx.doi.org/10.1007/s10550-006-0065-2;7;"Engineering, Electrical & Electronic; Telecommunications";WOS:000238859200034;View Full Record in Web of Science
S;BUTLER, C;BUTLER, C;THE ROLE OF I/T IN FACILITATING BPR - OBSERVATIONS FROM THE LITERATURE;BUSINESS PROCESS RE-ENGINEERING: INFORMATION SYSTEMS OPPORTUNITIES AND CHALLENGES;English;"Article; Proceedings Paper";INFORMATION SYSTEMS APPLICATIONS;INFORMATION;Business conditions in the early 1990s have placed new strains on organisations as they strive to maintain profitability in a fiercely competitive marketplace. Business Process Redesign (BPR) is now being used by many organisations to realign their operations in order to cope with these circumstances. Information Technology (IT) is increasingingly deployed as a prime enabler for this ''rejuvenation'' process. This paper draws on the established literature base for BPR to discuss the motivations for BPR and how organisations are using IT in their redesign projects to achieve performance breakthroughs.;;BUTLER, C (corresponding author), UNIV MELBOURNE, GRAD SCH MANAGEMENT, KEY CTR TECHNOL MANAGEMENT, 200 LEICESTER ST, MELBOURNE, VIC 3053, AUSTRALIA.;;;;38;1;1;0;0;0926-5473;;0-444-82062-0;;1994;54;;147;160;;;;14;"Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Industrial";WOS:A1994BB68G00018;View Full Record in Web of Science
J;"Fitzgerald, B; Murphy, C";"Fitzgerald, B; Murphy, C";Business process reengineering: Putting theory into practice;INFOR;English;Article;"business process reengineering; business process redesign; business reengineering; methodology; manufacturing; electronics industry; case study; action research";;"Business Process Reengineering (BPR) advocates the fundamental examination and redesign of business processes, recognising that the legacy of scientific management has been the excessive fragmentation of work practices in organisations today. This is reflected in the hierarchical structuring of organisations around functional departments, with individual and departmental; goals displacing overall organisational goals. This paper discusses the development of a specific methodology for BPR. The practical application of this methodology in an actual BPR project in one organisation is discussed and some of the findings and lessons learned from the project are presented.";UNIV COLL CORK,EXECUT SYST RES CTR,CORK,IRELAND;;;Fitzgerald, Brian/E-7790-2010;Fitzgerald, Brian/0000-0001-9193-2863;31;8;8;0;4;0315-5986;;;FEB;1996;34;1;3;14;;;;12;"Computer Science, Information Systems; Operations Research & Management Science";WOS:A1996TX06700002;View Full Record in Web of Science
C;"Maaz, M; Kumar, M";"Maaz, Md.; Kumar, Manish";Structured Method for Business Process Improvement;2012 THIRD INTERNATIONAL CONFERENCE ON SERVICES IN EMERGING MARKETS (ICSEM);English;Proceedings Paper;"Business Process Management; Business Process Improvement";;Based on the consulting experience in several process improvement projects and existing literature in the area the authors present a structured method to improve an existing process. This removes the ambiguity in identifying the data and information required to analyze a business process and in selection of suitable process improvement pattern. In general two consultants working on same improvement project may not reach the same results. This framework will help in achieving same recommendations consistently. The paper consists of method for analysis of existing process, data and information requirements for process improvement, and an approach to identify business process redesign methods.;"[Maaz, Md.; Kumar, Manish] Infosys Ltd, Infosys Labs, Bangalore, Karnataka, India";Maaz, M (corresponding author), Infosys Ltd, Infosys Labs, Bangalore, Karnataka, India.;"MdMaaz8@gmail.com; Manish_Kumar28@infosys.com";;;9;0;0;4;17;;;978-0-7695-4937-8;;2012;;;183;188;;10.1109/ICSEM.2012.34;http://dx.doi.org/10.1109/ICSEM.2012.34;6;"Computer Science, Theory & Methods; Engineering, Electrical & Electronic";WOS:000320388400027;View Full Record in Web of Science
J;"TENG, JTC; GROVER, Y; FIEDLER, KD";"TENG, JTC; GROVER, Y; FIEDLER, KD";BUSINESS PROCESS REENGINEERING - CHARTING A STRATEGIC PATH FOR THE INFORMATION AGE;CALIFORNIA MANAGEMENT REVIEW;English;Article;;;Many organizations are undergoing major restructuring efforts in order to be viable in today's changing economic environment. Business process redesign (BPR), which involves the radical redesign of age-old business processes, represents one such effort. Information technologies (IT) play an important role in BPR. This article presents a framework for examining business processes based on two process characteristics -degree of mediation and degree of collaboration-to show how IT may be applied to improve process performance by altering there process characteristics. Based on the framework, guidelines are provided for selecting strategic paths in reengineering specific processes.;;;;;Grover, Varun/0000-0001-5367-2423;24;58;58;0;15;0008-1256;;;SPR;1994;36;3;9;31;;10.2307/41165753;http://dx.doi.org/10.2307/41165753;23;"Business; Management";WOS:A1994NU40300002;View Full Record in Web of Science
C;"Roberto,; Tonelli, F";"Revetria, Roberto; Tonelli, Flavio";Neural Networks and Regressive KPI Metamodels for Business Corporate Management: Methodology and Case Study;BUSINESS PERFORMANCE MEASUREMENT AND MANAGEMENT: NEW CONTEXTS, THEMES AND CHALLENGES;English;Proceedings Paper;;;In order to answer to the new market demand industry turn to software vendors looking for specific ERP systems and starting specific projects for supporting Business Process Redesign (BPR). In such a context authors identified a lack of anticipatory models able to drive the ERP implementation process to the right thus proposing a meta-modeling approach able to bridge this gap. Proposed methodology integrates Data Analysis, Regression Meta-Modeling and Artificial Neural Networks processing, in order to identify hidden relationships among KPI guiding BPR decision makers. The paper presents the methodology as well as a practical application.;[Revetria, Roberto] Univ Genoa, DIPTEM, I-16145 Genoa, Italy;Roberto, (corresponding author), Univ Genoa, DIPTEM, I-16145 Genoa, Italy.;"revetria@diptem.unige.it; flavio.tonelli@diptem.unige.it";"Tonelli, Flavio/Q-6396-2016; Revetria, Roberto/AAC-6746-2019; Revetria, Roberto/F-3868-2017";"Tonelli, Flavio/0000-0001-8691-6519; Revetria, Roberto/0000-0002-6514-7105";7;0;0;0;2;;;978-3-642-04799-2;;2010;;;343;+;;10.1007/978-3-642-04800-5_22;http://dx.doi.org/10.1007/978-3-642-04800-5_22;2;"Management; Operations Research & Management Science";WOS:000276614100024;View Full Record in Web of Science
J;"TENG, JTC; GROVER, V; FIEDLER, KD";"TENG, JTC; GROVER, V; FIEDLER, KD";RE-DESIGNING BUSINESS PROCESSES USING INFORMATION TECHNOLOGY;LONG RANGE PLANNING;English;Article;;INNOVATION;In the face of environmental pressures, many companies are undergoing restructuring and downsizing. A major component of these changes is business process redesign (BPR) which involves the radical rethinking of institutionalized processes. Information technologies (IT) are major facilitators of many BPR efforts. This article examines IT-assisted BPR from a planning perspective. An integrated approach is presented and illustrated with examples from several major firms. The main elements in the framework are: BPR policy planning, an innovative environment, and coordinated implementation. To ensure the long-term viability and success of BPR, these aspects should be well co-ordinated.;;TENG, JTC (corresponding author), UNIV S CAROLINA, COLUMBIA, SC 29208 USA.;;;Grover, Varun/0000-0001-5367-2423;17;28;31;0;10;0024-6301;1873-1872;;FEB;1994;27;1;95;106;;10.1016/0024-6301(94)90010-8;http://dx.doi.org/10.1016/0024-6301(94)90010-8;12;"Business; Development Studies; Management";WOS:A1994ND40200008;View Full Record in Web of Science
